cylinders,displ,drive,make,model,trany
4.0,2.0,Rear-Wheel Drive,Alfa Romeo,Spider Veloce 2000,MANUAL
8.0,5.2,Rear-Wheel Drive,Dodge,B150/B250 Wagon 2WD,AUTO
8.0,5.2,Rear-Wheel Drive,Dodge,B150/B250 Wagon 2WD,MANUAL
8.0,4.6,Front-Wheel Drive,Cadillac,Seville,AUTO
8.0,4.9,Front-Wheel Drive,Cadillac,Seville,AUTO
6.0,3.3,Front-Wheel Drive,Chrysler,New Yorker,AUTO
4.0,2.5,Front-Wheel Drive,Dodge,Dynasty,AUTO
6.0,3.0,Front-Wheel Drive,Dodge,Dynasty,AUTO
6.0,3.3,Front-Wheel Drive,Dodge,Dynasty,AUTO
4.0,2.5,Front-Wheel Drive,Dodge,Spirit,AUTO
4.0,2.5,Front-Wheel Drive,Dodge,Spirit,MANUAL
6.0,3.0,Front-Wheel Drive,Dodge,Spirit,AUTO
6.0,3.0,Front-Wheel Drive,Ford,Taurus,AUTO
6.0,3.0,Front-Wheel Drive,Ford,Taurus SHO,MANUAL
6.0,3.8,Front-Wheel Drive,Ford,Taurus,AUTO
6.0,3.0,Front-Wheel Drive,Mercury,Sable,AUTO
6.0,3.8,Front-Wheel Drive,Mercury,Sable,AUTO
4.0,2.2,Front-Wheel Drive,Oldsmobile,Cutlass Ciera,AUTO
6.0,3.3,Front-Wheel Drive,Oldsmobile,Cutlass Ciera,AUTO
4.0,2.5,Front-Wheel Drive,Plymouth,Acclaim,AUTO
6.0,4.9,Rear-Wheel Drive,Ford,E150 Club Wagon,AUTO
4.0,2.5,Front-Wheel Drive,Plymouth,Acclaim,MANUAL
6.0,3.0,Front-Wheel Drive,Plymouth,Acclaim,AUTO
6.0,4.9,Rear-Wheel Drive,Ford,E150 Club Wagon,MANUAL
6.0,3.8,Front-Wheel Drive,Buick,LeSabre,AUTO
6.0,3.8,Front-Wheel Drive,Buick,Park Avenue,AUTO
8.0,5.7,Rear-Wheel Drive,Buick,Roadmaster,AUTO
8.0,5.7,Rear-Wheel Drive,Cadillac,Fleetwood,AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,Caprice,AUTO
8.0,5.0,Rear-Wheel Drive,Ford,E150 Club Wagon,AUTO
8.0,5.0,Rear-Wheel Drive,Chevrolet,Caprice,AUTO
8.0,5.7,Rear-Wheel Drive,Chevrolet,Caprice,AUTO
6.0,3.3,Front-Wheel Drive,Chrysler,Concorde,AUTO
6.0,3.5,Front-Wheel Drive,Chrysler,Concorde,AUTO
6.0,3.3,Front-Wheel Drive,Chrysler,Fifth Avenue/Imperial,AUTO
6.0,3.8,Front-Wheel Drive,Chrysler,Fifth Avenue/Imperial,AUTO
6.0,3.3,Front-Wheel Drive,Dodge,Intrepid,AUTO
6.0,3.5,Front-Wheel Drive,Dodge,Intrepid,AUTO
6.0,3.3,Front-Wheel Drive,Eagle,Vision,AUTO
6.0,3.5,Front-Wheel Drive,Eagle,Vision,AUTO
8.0,4.6,Rear-Wheel Drive,Ford,LTD Crown Victoria,AUTO
6.0,3.8,Front-Wheel Drive,Lincoln,Continental,AUTO
8.0,4.6,Rear-Wheel Drive,Mercury,Grand Marquis,AUTO
8.0,4.6,Rear-Wheel Drive,Lincoln,Town Car,AUTO
6.0,3.8,Front-Wheel Drive,Oldsmobile,Eighty-Eight,AUTO
6.0,3.8,Front-Wheel Drive,Oldsmobile,Ninety-Eight,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,G15/25 Rally 2WD,AUTO
6.0,3.8,Front-Wheel Drive,Pontiac,Bonneville,AUTO
4.0,1.9,Front-Wheel Drive,Ford,Escort Wagon,AUTO
4.0,1.9,Front-Wheel Drive,Ford,Escort Wagon,MANUAL
4.0,1.9,Front-Wheel Drive,Mercury,Tracer Wagon,AUTO
4.0,1.9,Front-Wheel Drive,Mercury,Tracer Wagon,MANUAL
4.0,1.9,Front-Wheel Drive,Saturn,SW,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,G15/25 Rally 2WD,MANUAL
4.0,1.9,Front-Wheel Drive,Saturn,SW,MANUAL
8.0,5.0,Rear-Wheel Drive,GMC,G15/25 Rally 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,GMC,G15/25 Rally 2WD,AUTO
8.0,6.2,Rear-Wheel Drive,GMC,G15/25 Rally 2WD,AUTO
8.0,6.2,Rear-Wheel Drive,GMC,G15/25 Rally 2WD,MANUAL
4.0,2.5,Rear-Wheel Drive,Chevrolet,S10 Pickup 2WD,AUTO
4.0,2.5,Rear-Wheel Drive,Chevrolet,S10 Pickup 2WD,MANUAL
6.0,2.8,Rear-Wheel Drive,Chevrolet,S10 Pickup 2WD,MANUAL
6.0,4.3,Rear-Wheel Drive,Chevrolet,S10 Pickup 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,S10 Pickup 2WD,MANUAL
4.0,2.5,Rear-Wheel Drive,GMC,Safari 2WD (passenger),AUTO
4.0,2.5,Rear-Wheel Drive,GMC,Sonoma 2WD,AUTO
4.0,2.5,Rear-Wheel Drive,GMC,Sonoma 2WD,MANUAL
6.0,2.8,Rear-Wheel Drive,GMC,Sonoma 2WD,MANUAL
6.0,4.3,Rear-Wheel Drive,GMC,Sonoma 2WD,AUTO
4.0,2.5,Rear-Wheel Drive,GMC,Safari 2WD (passenger),MANUAL
6.0,4.3,Rear-Wheel Drive,GMC,Sonoma 2WD,MANUAL
6.0,4.3,Rear-Wheel Drive,Chevrolet,C1500 Pickup 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,C1500 Pickup 2WD,MANUAL
8.0,5.0,Rear-Wheel Drive,Chevrolet,C1500 Pickup 2WD,AUTO
8.0,5.0,Rear-Wheel Drive,Chevrolet,C1500 Pickup 2WD,MANUAL
8.0,5.7,Rear-Wheel Drive,Chevrolet,C1500 Pickup 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,Chevrolet,C1500 Pickup 2WD,MANUAL
6.0,4.3,Rear-Wheel Drive,Chevrolet,Pickup 2500 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,Pickup 2500 2WD,MANUAL
8.0,5.0,Rear-Wheel Drive,Chevrolet,Pickup 2500 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,Safari 2WD (passenger),AUTO
8.0,5.0,Rear-Wheel Drive,Chevrolet,Pickup 2500 2WD,MANUAL
8.0,5.7,Rear-Wheel Drive,Chevrolet,Pickup 2500 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,Chevrolet,Pickup 2500 2WD,MANUAL
4.0,2.5,Rear-Wheel Drive,Dodge,Dakota Pickup 2WD,MANUAL
6.0,3.9,Rear-Wheel Drive,Dodge,Dakota Pickup 2WD,AUTO
6.0,3.9,Rear-Wheel Drive,Dodge,Dakota Pickup 2WD,MANUAL
8.0,5.2,Rear-Wheel Drive,Dodge,Dakota Pickup 2WD,AUTO
6.0,3.9,Rear-Wheel Drive,Dodge,D100/D150 Pickup 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,Safari 2WD (passenger),MANUAL
6.0,3.9,Rear-Wheel Drive,Dodge,D100/D150 Pickup 2WD,MANUAL
8.0,5.2,Rear-Wheel Drive,Dodge,D100/D150 Pickup 2WD,AUTO
8.0,5.2,Rear-Wheel Drive,Dodge,D100/D150 Pickup 2WD,MANUAL
8.0,5.9,Rear-Wheel Drive,Dodge,D100/D150 Pickup 2WD,AUTO
8.0,5.9,Rear-Wheel Drive,Dodge,D100/D150 Pickup 2WD,MANUAL
6.0,3.9,Rear-Wheel Drive,Dodge,D250 Pickup 2WD,AUTO
6.0,3.9,Rear-Wheel Drive,Dodge,D250 Pickup 2WD,MANUAL
8.0,5.2,Rear-Wheel Drive,Dodge,D250 Pickup 2WD,AUTO
8.0,5.2,Rear-Wheel Drive,Dodge,D250 Pickup 2WD,MANUAL
8.0,5.9,Rear-Wheel Drive,Dodge,D250 Pickup 2WD,AUTO
8.0,5.9,Rear-Wheel Drive,Dodge,D250 Pickup 2WD,MANUAL
4.0,2.5,4-Wheel or All-Wheel Drive,Jeep,Comanche Pickup 4WD,MANUAL
6.0,4.0,4-Wheel or All-Wheel Drive,Jeep,Comanche Pickup 4WD,AUTO
6.0,4.0,4-Wheel or All-Wheel Drive,Jeep,Comanche Pickup 4WD,MANUAL
6.0,4.9,Rear-Wheel Drive,Ford,F150 Pickup 2WD,AUTO
6.0,4.9,Rear-Wheel Drive,Ford,F150 Pickup 2WD,MANUAL
8.0,5.0,Rear-Wheel Drive,Ford,F150 Pickup 2WD,AUTO
8.0,5.0,Rear-Wheel Drive,Ford,F150 Pickup 2WD,MANUAL
8.0,5.8,Rear-Wheel Drive,Ford,F150 Pickup 2WD,AUTO
6.0,4.9,Rear-Wheel Drive,Ford,F250 Pickup 2WD,AUTO
6.0,4.9,Rear-Wheel Drive,Ford,F250 Pickup 2WD,MANUAL
8.0,5.0,Rear-Wheel Drive,Ford,F250 Pickup 2WD,AUTO
8.0,5.0,Rear-Wheel Drive,Ford,F250 Pickup 2WD,MANUAL
8.0,5.8,Rear-Wheel Drive,Ford,F250 Pickup 2WD,AUTO
4.0,2.3,Rear-Wheel Drive,Ford,Ranger Pickup 2WD,AUTO
4.0,2.3,Rear-Wheel Drive,Ford,Ranger Pickup 2WD,MANUAL
6.0,3.0,Rear-Wheel Drive,Ford,Ranger Pickup 2WD,AUTO
6.0,3.0,Rear-Wheel Drive,Ford,Ranger Pickup 2WD,MANUAL
6.0,4.0,Rear-Wheel Drive,Ford,Ranger Pickup 2WD,AUTO
6.0,4.0,Rear-Wheel Drive,Ford,Ranger Pickup 2WD,MANUAL
6.0,4.3,Rear-Wheel Drive,GMC,Sierra 1500 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,Sierra 1500 2WD,MANUAL
8.0,5.0,Rear-Wheel Drive,GMC,Sierra 1500 2WD,AUTO
8.0,5.0,Rear-Wheel Drive,GMC,Sierra 1500 2WD,MANUAL
8.0,5.7,Rear-Wheel Drive,GMC,Sierra 1500 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,GMC,Sierra 1500 2WD,MANUAL
6.0,4.3,Rear-Wheel Drive,GMC,Sierra 2500 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,Sierra 2500 2WD,MANUAL
8.0,5.0,Rear-Wheel Drive,GMC,Sierra 2500 2WD,AUTO
8.0,5.0,Rear-Wheel Drive,GMC,Sierra 2500 2WD,MANUAL
8.0,5.7,Rear-Wheel Drive,GMC,Sierra 2500 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,GMC,Sierra 2500 2WD,MANUAL
4.0,2.5,Rear-Wheel Drive,AM General,Post Office DJ5 2WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,Chevrolet,K1500 Pickup 4WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,Chevrolet,K1500 Pickup 4WD,MANUAL
8.0,5.0,4-Wheel or All-Wheel Drive,Chevrolet,K1500 Pickup 4WD,AUTO
8.0,5.0,4-Wheel or All-Wheel Drive,Chevrolet,K1500 Pickup 4WD,MANUAL
8.0,5.7,4-Wheel or All-Wheel Drive,Chevrolet,K1500 Pickup 4WD,AUTO
6.0,4.2,Rear-Wheel Drive,AM General,Post Office DJ8 2WD,AUTO
8.0,5.7,4-Wheel or All-Wheel Drive,Chevrolet,K1500 Pickup 4WD,MANUAL
8.0,6.2,4-Wheel or All-Wheel Drive,Chevrolet,K1500 Pickup 4WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,Chevrolet,Pickup 2500 4WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,Chevrolet,Pickup 2500 4WD,MANUAL
8.0,5.0,4-Wheel or All-Wheel Drive,Chevrolet,Pickup 2500 4WD,AUTO
8.0,5.0,4-Wheel or All-Wheel Drive,Chevrolet,Pickup 2500 4WD,MANUAL
8.0,5.7,4-Wheel or All-Wheel Drive,Chevrolet,Pickup 2500 4WD,AUTO
8.0,5.7,4-Wheel or All-Wheel Drive,Chevrolet,Pickup 2500 4WD,MANUAL
8.0,5.0,Rear-Wheel Drive,Chevrolet,Suburban C10 2WD,AUTO
8.0,6.2,4-Wheel or All-Wheel Drive,Chevrolet,Pickup 2500 4WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,Chevrolet,S10 Pickup 4WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,Chevrolet,S10 Pickup 4WD,MANUAL
6.0,3.9,4-Wheel or All-Wheel Drive,Dodge,Dakota Pickup 4WD,AUTO
6.0,3.9,4-Wheel or All-Wheel Drive,Dodge,Dakota Pickup 4WD,MANUAL
8.0,5.2,4-Wheel or All-Wheel Drive,Dodge,Dakota Pickup 4WD,AUTO
8.0,5.7,Rear-Wheel Drive,Chevrolet,Suburban C10 2WD,AUTO
6.0,3.9,4-Wheel or All-Wheel Drive,Dodge,W100/W150 Pickup 4WD,AUTO
6.0,3.9,4-Wheel or All-Wheel Drive,Dodge,W100/W150 Pickup 4WD,MANUAL
8.0,5.2,4-Wheel or All-Wheel Drive,Dodge,W100/W150 Pickup 4WD,AUTO
8.0,5.2,4-Wheel or All-Wheel Drive,Dodge,W100/W150 Pickup 4WD,MANUAL
8.0,5.9,4-Wheel or All-Wheel Drive,Dodge,W100/W150 Pickup 4WD,AUTO
8.0,5.2,4-Wheel or All-Wheel Drive,Dodge,W250 Pickup 4WD,AUTO
8.0,5.2,4-Wheel or All-Wheel Drive,Dodge,W250 Pickup 4WD,MANUAL
8.0,6.2,Rear-Wheel Drive,Chevrolet,Suburban C10 2WD,AUTO
8.0,5.9,4-Wheel or All-Wheel Drive,Dodge,W250 Pickup 4WD,AUTO
4.0,2.5,Rear-Wheel Drive,Jeep,Comanche Pickup 2WD,MANUAL
6.0,4.0,Rear-Wheel Drive,Jeep,Comanche Pickup 2WD,AUTO
6.0,4.0,Rear-Wheel Drive,Jeep,Comanche Pickup 2WD,MANUAL
6.0,4.9,4-Wheel or All-Wheel Drive,Ford,F150 Pickup 4WD,AUTO
6.0,4.9,4-Wheel or All-Wheel Drive,Ford,F150 Pickup 4WD,MANUAL
8.0,5.0,4-Wheel or All-Wheel Drive,Ford,F150 Pickup 4WD,AUTO
4.0,2.5,Rear-Wheel Drive,Chevrolet,S10 Blazer 2WD,AUTO
8.0,5.0,4-Wheel or All-Wheel Drive,Ford,F150 Pickup 4WD,MANUAL
8.0,5.8,4-Wheel or All-Wheel Drive,Ford,F150 Pickup 4WD,AUTO
4.0,2.3,4-Wheel or All-Wheel Drive,Ford,Ranger Pickup 4WD,MANUAL
6.0,3.0,4-Wheel or All-Wheel Drive,Ford,Ranger Pickup 4WD,AUTO
6.0,3.0,4-Wheel or All-Wheel Drive,Ford,Ranger Pickup 4WD,MANUAL
6.0,4.0,4-Wheel or All-Wheel Drive,Ford,Ranger Pickup 4WD,AUTO
6.0,4.0,4-Wheel or All-Wheel Drive,Ford,Ranger Pickup 4WD,MANUAL
6.0,4.3,4-Wheel or All-Wheel Drive,GMC,Sierra 1500 4WD,AUTO
4.0,2.5,Rear-Wheel Drive,Chevrolet,S10 Blazer 2WD,MANUAL
6.0,4.3,4-Wheel or All-Wheel Drive,GMC,Sierra 1500 4WD,MANUAL
8.0,5.0,4-Wheel or All-Wheel Drive,GMC,Sierra 1500 4WD,AUTO
8.0,5.0,4-Wheel or All-Wheel Drive,GMC,Sierra 1500 4WD,MANUAL
8.0,5.7,4-Wheel or All-Wheel Drive,GMC,Sierra 1500 4WD,AUTO
8.0,5.7,4-Wheel or All-Wheel Drive,GMC,Sierra 1500 4WD,MANUAL
8.0,6.2,4-Wheel or All-Wheel Drive,GMC,Sierra 1500 4WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,GMC,Sierra 2500 4WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,GMC,Sierra 2500 4WD,MANUAL
8.0,5.0,4-Wheel or All-Wheel Drive,GMC,Sierra 2500 4WD,AUTO
8.0,5.0,4-Wheel or All-Wheel Drive,GMC,Sierra 2500 4WD,MANUAL
8.0,5.7,4-Wheel or All-Wheel Drive,GMC,Sierra 2500 4WD,AUTO
8.0,5.7,4-Wheel or All-Wheel Drive,GMC,Sierra 2500 4WD,MANUAL
8.0,6.2,4-Wheel or All-Wheel Drive,GMC,Sierra 2500 4WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,GMC,Sonoma 4WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,GMC,Sonoma 4WD,MANUAL
6.0,2.8,Rear-Wheel Drive,Chevrolet,S10 Blazer 2WD,AUTO
6.0,2.8,Rear-Wheel Drive,Chevrolet,S10 Blazer 2WD,MANUAL
6.0,4.3,4-Wheel or All-Wheel Drive,Chevrolet,Astro AWD (cargo),AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,Astro 2WD (cargo),AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,G10/20 Van 2WD,AUTO
8.0,5.0,Rear-Wheel Drive,Chevrolet,G10/20 Van 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,Chevrolet,G10/20 Van 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,G30 Van 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,Chevrolet,G30 Van 2WD,AUTO
6.0,3.9,Rear-Wheel Drive,Dodge,B150/B250 Van 2WD,AUTO
6.0,3.9,Rear-Wheel Drive,Dodge,B150/B250 Van 2WD,MANUAL
8.0,5.2,Rear-Wheel Drive,Dodge,B150/B250 Van 2WD,AUTO
8.0,5.9,Rear-Wheel Drive,Dodge,B150/B250 Van 2WD,AUTO
6.0,3.9,Rear-Wheel Drive,Dodge,B350 Van 2WD,AUTO
8.0,5.2,Rear-Wheel Drive,Dodge,B350 Van 2WD,AUTO
8.0,5.9,Rear-Wheel Drive,Dodge,B350 Van 2WD,AUTO
6.0,3.0,Rear-Wheel Drive,Ford,Aerostar Van,AUTO
6.0,3.0,Rear-Wheel Drive,Ford,Aerostar Van,MANUAL
6.0,4.0,Rear-Wheel Drive,Ford,Aerostar Van,AUTO
6.0,4.0,4-Wheel or All-Wheel Drive,Ford,Aerostar Van AWD,AUTO
6.0,4.9,Rear-Wheel Drive,Ford,E150 Econoline 2WD,AUTO
8.0,5.0,Rear-Wheel Drive,Ford,E150 Econoline 2WD,AUTO
8.0,5.8,Rear-Wheel Drive,Ford,E150 Econoline 2WD,AUTO
6.0,4.9,Rear-Wheel Drive,Ford,E250 Econoline 2WD,AUTO
8.0,5.2,Rear-Wheel Drive,Dodge,AD100/AD150 Ramcharger 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,Vandura G15/25 2WD,AUTO
8.0,5.0,Rear-Wheel Drive,GMC,Vandura G15/25 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,GMC,Vandura G15/25 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,Vandura G35 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,GMC,Vandura G35 2WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,GMC,Safari AWD (cargo),AUTO
6.0,4.3,Rear-Wheel Drive,GMC,Safari 2WD (cargo),AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,Chevrolet,Astro AWD (passenger),AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,Astro 2WD (passenger),AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,Sport Van G10/20 2WD,AUTO
8.0,5.0,Rear-Wheel Drive,Chevrolet,Sport Van G10/20 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,Chevrolet,Sport Van G10/20 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,Chevrolet,Sport Van G30 2WD,AUTO
6.0,3.9,Rear-Wheel Drive,Dodge,B150/B250 Wagon 2WD,AUTO
6.0,3.9,Rear-Wheel Drive,Dodge,B150/B250 Wagon 2WD,MANUAL
8.0,5.9,Rear-Wheel Drive,Dodge,B150/B250 Wagon 2WD,AUTO
8.0,5.2,Rear-Wheel Drive,Dodge,B350 Wagon 2WD,AUTO
8.0,5.9,Rear-Wheel Drive,Dodge,B350 Wagon 2WD,AUTO
6.0,3.0,Rear-Wheel Drive,Ford,Aerostar Wagon,AUTO
6.0,3.0,Rear-Wheel Drive,Ford,Aerostar Wagon,MANUAL
6.0,4.0,Rear-Wheel Drive,Ford,Aerostar Wagon,AUTO
6.0,4.0,4-Wheel or All-Wheel Drive,Ford,Aerostar Wagon AWD,AUTO
4.0,2.2,Front-Wheel Drive,Dodge,Caravan/Ram Van 2WD,AUTO
8.0,5.8,Rear-Wheel Drive,Ford,E150 Club Wagon,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,Rally G15/25 2WD,AUTO
8.0,5.0,Rear-Wheel Drive,GMC,Rally G15/25 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,GMC,Rally G15/25 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,GMC,Rally G35 2WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,GMC,Safari AWD (passenger),AUTO
6.0,3.1,Front-Wheel Drive,Chevrolet,Lumina/APV Minivan 2WD,AUTO
6.0,3.8,Front-Wheel Drive,Chevrolet,Lumina/APV Minivan 2WD,AUTO
8.0,5.7,Rear-Wheel Drive,Chevrolet,Suburban 1500 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,S10 Blazer 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,Chevrolet,S10 Blazer 2WD,MANUAL
4.0,2.2,Front-Wheel Drive,Dodge,Caravan/Ram Van 2WD,MANUAL
6.0,3.3,Front-Wheel Drive,Chrysler,Town and Country 2WD,AUTO
4.0,2.5,Front-Wheel Drive,Dodge,Caravan C/V/Grand Caravan 2WD,AUTO
4.0,2.5,Front-Wheel Drive,Dodge,Caravan C/V/Grand Caravan 2WD,MANUAL
6.0,3.0,Front-Wheel Drive,Dodge,Caravan C/V/Grand Caravan 2WD,AUTO
6.0,3.3,Front-Wheel Drive,Dodge,Caravan C/V/Grand Caravan 2WD,AUTO
4.0,2.5,Front-Wheel Drive,Dodge,Caravan/Grand Caravan 2WD,AUTO
4.0,2.5,Front-Wheel Drive,Dodge,Caravan/Grand Caravan 2WD,MANUAL
6.0,3.0,Front-Wheel Drive,Dodge,Caravan/Grand Caravan 2WD,AUTO
6.0,3.3,Front-Wheel Drive,Dodge,Caravan/Grand Caravan 2WD,AUTO
8.0,5.2,Rear-Wheel Drive,Dodge,Ramcharger 2WD,AUTO
8.0,5.9,Rear-Wheel Drive,Dodge,Ramcharger 2WD,AUTO
4.0,2.5,Rear-Wheel Drive,Jeep,Cherokee 2WD,MANUAL
6.0,4.0,Rear-Wheel Drive,Jeep,Cherokee 2WD,AUTO
6.0,4.0,Rear-Wheel Drive,Jeep,Cherokee 2WD,MANUAL
6.0,4.0,Rear-Wheel Drive,Ford,Explorer 2WD,AUTO
6.0,4.0,Rear-Wheel Drive,Ford,Explorer 2WD,MANUAL
6.0,3.0,Front-Wheel Drive,Mercury,Villager FWD Van,AUTO
6.0,3.0,Front-Wheel Drive,Mercury,Villager FWD Wagon,AUTO
8.0,5.7,Rear-Wheel Drive,GMC,Suburban 1500 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,Jimmy 2WD,AUTO
6.0,4.3,Rear-Wheel Drive,GMC,Jimmy 2WD,MANUAL
6.0,3.1,Front-Wheel Drive,Pontiac,Trans Sport 2WD,AUTO
6.0,3.8,Front-Wheel Drive,Pontiac,Trans Sport 2WD,AUTO
4.0,2.5,Front-Wheel Drive,Plymouth,Voyager/Grand Voyager 2WD,AUTO
4.0,2.5,Front-Wheel Drive,Plymouth,Voyager/Grand Voyager 2WD,MANUAL
6.0,3.0,Front-Wheel Drive,Plymouth,Voyager/Grand Voyager 2WD,AUTO
6.0,3.3,Front-Wheel Drive,Plymouth,Voyager/Grand Voyager 2WD,AUTO
4.0,2.6,Front-Wheel Drive,Dodge,Caravan/Ram Van 2WD,AUTO
6.0,3.1,Front-Wheel Drive,Oldsmobile,Silhouette 2WD,AUTO
6.0,3.8,Front-Wheel Drive,Oldsmobile,Silhouette 2WD,AUTO
8.0,5.7,4-Wheel or All-Wheel Drive,Chevrolet,Blazer 1500 4WD,AUTO
8.0,5.7,4-Wheel or All-Wheel Drive,Chevrolet,Blazer 1500 4WD,MANUAL
8.0,5.7,4-Wheel or All-Wheel Drive,Chevrolet,Suburban 1500 4WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,Chevrolet,S10 Blazer 4WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,Chevrolet,S10 Blazer 4WD,MANUAL
6.0,3.3,4-Wheel or All-Wheel Drive,Chrysler,Town and Country 4WD,AUTO
6.0,3.3,4-Wheel or All-Wheel Drive,Dodge,Caravan/Grand Caravan 4WD,AUTO
8.0,5.2,4-Wheel or All-Wheel Drive,Dodge,Ramcharger 4WD,AUTO
8.0,5.9,4-Wheel or All-Wheel Drive,Dodge,Ramcharger 4WD,AUTO
4.0,2.5,4-Wheel or All-Wheel Drive,Jeep,Cherokee 4WD,MANUAL
6.0,4.0,4-Wheel or All-Wheel Drive,Jeep,Cherokee 4WD,AUTO
6.0,4.0,4-Wheel or All-Wheel Drive,Jeep,Cherokee 4WD,MANUAL
6.0,4.0,4-Wheel or All-Wheel Drive,Jeep,Grand Cherokee 4WD,AUTO
8.0,5.0,Rear-Wheel Drive,GMC,C15 Suburban 2WD,AUTO
6.0,4.0,4-Wheel or All-Wheel Drive,Jeep,Grand Cherokee 4WD,MANUAL
8.0,5.2,4-Wheel or All-Wheel Drive,Jeep,Grand Cherokee 4WD,AUTO
4.0,2.5,4-Wheel or All-Wheel Drive,Jeep,Wrangler 4WD,MANUAL
6.0,4.0,4-Wheel or All-Wheel Drive,Jeep,Wrangler 4WD,AUTO
6.0,4.0,4-Wheel or All-Wheel Drive,Jeep,Wrangler 4WD,MANUAL
8.0,5.0,4-Wheel or All-Wheel Drive,Ford,Bronco 4WD,AUTO
8.0,5.0,4-Wheel or All-Wheel Drive,Ford,Bronco 4WD,MANUAL
8.0,5.8,4-Wheel or All-Wheel Drive,Ford,Bronco 4WD,AUTO
8.0,5.7,Rear-Wheel Drive,GMC,C15 Suburban 2WD,AUTO
6.0,4.0,4-Wheel or All-Wheel Drive,Ford,Explorer 4WD,AUTO
6.0,4.0,4-Wheel or All-Wheel Drive,Ford,Explorer 4WD,MANUAL
6.0,4.3,4-Wheel or All-Wheel Drive,GMC,Jimmy 4WD,AUTO
6.0,4.3,4-Wheel or All-Wheel Drive,GMC,Jimmy 4WD,MANUAL
8.0,5.7,4-Wheel or All-Wheel Drive,GMC,Suburban 1500 4WD,AUTO
8.0,5.7,4-Wheel or All-Wheel Drive,GMC,Yukon 1500 4WD,AUTO
8.0,6.2,Rear-Wheel Drive,GMC,C15 Suburban 2WD,AUTO
8.0,5.7,4-Wheel or All-Wheel Drive,GMC,Yukon 1500 4WD,MANUAL
4.0,2.5,Rear-Wheel Drive,GMC,S15 Jimmy 2WD,AUTO
6.0,3.3,4-Wheel or All-Wheel Drive,Plymouth,Voyager/Grand Voyager 4WD,AUTO
4.0,2.5,Rear-Wheel Drive,GMC,S15 Jimmy 2WD,MANUAL
6.0,4.3,4-Wheel or All-Wheel Drive,Oldsmobile,Bravada AWD,AUTO
8.0,4.9,Front-Wheel Drive,Cadillac,Commercial Chassis,AUTO
8.0,5.7,Rear-Wheel Drive,Chevrolet,Coachbuilder Wagon,AUTO
4.0,2.5,Rear-Wheel Drive,Chevrolet,Postal Cab Chassis 2WD,AUTO
